Trie,words_build(ns/key),words_query(ns/op),words_size(%),dna_build(ns/key),dna_query(ns/op),dna_size(%),xml_build(ns/key),xml_query(ns/op),xml_size(%),wiki_build(ns/key),wiki_query(ns/op),wiki_size(%),log_build(ns/key),log_query(ns/op),log_size(%)
FST,306,392,49.9%,551,471,71.6%,1065,1138,16.8%,409,458,53.7%,1693,2387,18.9%
BV-FST,91,226,44.3%,369,255,73.3%,244,541,17.4%,215,231,54.9%,564,915,19.8%
C2-FST,101,232,44.3%,452,257,42.3%,329,562,15.2%,285,239,50.1%,675,954,17.2%
CoCo-prime,777,388,51.5%,1280,370,36.8%,1406,576,15.1%,1558,402,51.0%,7774,805,15.7%
BV-CoCo,751,339,50.2%,1184,264,67.6%,1311,505,17.3%,1455,335,55.6%,7632,672,18.2%
C2-CoCo,761,339,50.2%,1268,274,36.6%,1388,506,15.0%,1524,340,50.7%,7737,714,15.6%
Marisa,233,257,37.4%,367,279,73.8%,472,330,18.2%,276,248,49.6%,654,466,14.9%
BV-Marisa,129,177,41.2%,370,195,72.5%,289,208,17.2%,224,157,49.6%,567,321,12.7%
C2-Marisa,169,181,41.1%,465,199,39.4%,398,239,14.3%,320,169,44.0%,714,397,9.7%
Marisa-1,140,178,41.2%,662,315,48.0%,368,337,12.9%,296,238,41.8%,607,550,8.6%
BV-Marisa-1,139,178,41.2%,665,312,48.0%,371,331,12.9%,300,242,41.8%,618,550,8.6%
C2-Marisa-1,168,193,39.7%,833,204,39.4%,490,356,12.6%,420,243,38.7%,802,624,7.1%
PDT,624,354,37.0%,1938,384,30.1%,1482,446,11.7%,1717,336,42.4%,2258,537,9.8%
ART,72,130,380.5%,66,132,119.4%,129,165,60.0%,69,98,176.2%,117,274,36.7%
C-ART,120,160,170.0%,118,155,55.8%,166,176,26.9%,104,111,83.7%,162,318,23.8%
