Trie,words_build(ns/key),words_query(ns/op),words_size(%),dna_build(ns/key),dna_query(ns/op),dna_size(%),xml_build(ns/key),xml_query(ns/op),xml_size(%),wiki_build(ns/key),wiki_query(ns/op),wiki_size(%),log_build(ns/key),log_query(ns/op),log_size(%)
FST,308,401,49.9%,552,471,71.6%,1064,1125,16.8%,405,447,53.7%,1686,2402,18.9%
BV-FST,89,230,44.3%,369,258,73.3%,247,546,17.4%,215,231,54.9%,555,916,19.8%
C2-FST,100,226,44.3%,454,258,42.3%,323,554,15.2%,282,236,50.1%,654,956,17.2%
CoCo-prime,782,387,51.5%,1278,367,36.8%,1406,574,15.1%,1557,402,51.0%,7800,776,15.7%
BV-CoCo,757,340,50.2%,1187,267,67.6%,1303,500,17.3%,1455,333,55.6%,7646,676,18.2%
C2-CoCo,765,342,50.2%,1272,264,36.6%,1397,512,15.0%,1533,340,50.7%,7723,718,15.6%
Marisa,236,264,37.4%,364,285,73.8%,473,328,18.2%,276,244,49.6%,644,471,14.9%
BV-Marisa,132,178,41.2%,377,195,72.5%,290,210,17.2%,222,156,49.6%,568,320,12.7%
C2-Marisa,166,182,41.1%,462,201,39.4%,394,238,14.3%,318,167,44.0%,718,408,9.7%
BV-Marisa-1,142,180,41.2%,661,315,48.0%,367,332,12.9%,296,239,41.8%,617,548,8.6%
C2-Marisa-1,169,194,39.7%,827,202,39.4%,489,373,12.6%,422,246,38.7%,808,623,7.1%
PDT,625,359,37.0%,1959,387,30.1%,1509,453,11.7%,1708,332,42.4%,2273,539,9.8%
ART,72,131,380.5%,67,135,119.4%,134,169,60.0%,69,97,176.2%,116,272,36.7%
C-ART,120,150,170.0%,107,148,55.8%,166,195,26.9%,104,113,83.7%,166,296,23.8%
