Trie,words_build(ns/key),words_query(ns/op),words_size(%),dna_build(ns/key),dna_query(ns/op),dna_size(%),xml_build(ns/key),xml_query(ns/op),xml_size(%),wiki_build(ns/key),wiki_query(ns/op),wiki_size(%),log_build(ns/key),log_query(ns/op),log_size(%)
FST,310,404,49.9%,555,480,71.6%,1062,1124,16.8%,406,450,53.7%,1687,2416,18.9%
BV-FST,91,231,44.3%,372,260,73.3%,245,545,17.4%,214,230,54.9%,562,916,19.8%
C2-FST,99,227,44.3%,449,258,42.3%,323,556,15.2%,282,237,50.1%,673,971,17.2%
CoCo-prime,786,388,51.5%,1285,395,36.8%,1401,574,15.1%,1550,399,51.0%,7741,772,15.7%
BV-CoCo,753,340,50.2%,1186,263,67.6%,1306,501,17.3%,1455,332,55.6%,7684,678,18.2%
C2-CoCo,770,343,50.2%,1265,264,36.6%,1380,506,15.0%,1528,339,50.7%,7709,718,15.6%
Marisa,235,261,37.4%,363,278,73.8%,471,321,18.2%,278,248,49.6%,649,478,14.9%
BV-Marisa,130,178,41.2%,373,194,72.5%,291,208,17.2%,226,158,49.6%,565,316,12.7%
C2-Marisa,167,180,41.1%,462,198,39.4%,408,240,14.3%,318,167,44.0%,705,396,9.7%
Marisa-1,236,280,33.3%,518,424,49.8%,535,446,12.6%,337,374,39.4%,685,748,7.7%
BV-Marisa-1,139,179,41.2%,661,313,48.0%,366,328,12.9%,299,239,41.8%,614,548,8.6%
C2-Marisa-1,167,195,39.7%,813,198,39.4%,483,357,12.6%,420,244,38.7%,802,616,7.1%
PDT,625,356,37.0%,1951,378,30.1%,1489,455,11.7%,1719,338,42.4%,2276,543,9.8%
ART,73,133,380.5%,66,133,119.4%,133,165,60.0%,69,97,176.2%,117,274,36.7%
C-ART,120,156,170.0%,108,149,55.8%,167,183,26.9%,105,114,83.7%,166,333,23.8%
