trie,dataset,build_ms,size_mb,latency_ns
FST,words,142.665343,2.091800,392.409207
FST,dna,55.109150,2.115816,471.360120
FST,xml,106.533246,0.950237,1138.156540
FST,wiki,40.915741,0.966380,457.577730
FST,log,169.319463,1.929769,2387.252288
BV-FST,words,42.267010,1.859408,225.568275
BV-FST,dna,36.858101,2.165810,254.613780
BV-FST,xml,24.429939,0.983725,541.211450
BV-FST,wiki,21.504529,0.988639,230.581690
BV-FST,log,56.358457,2.020157,915.210018
C2-FST,words,47.315670,1.858720,231.899082
C2-FST,dna,45.218427,1.249219,257.211570
C2-FST,xml,32.910855,0.857991,562.346510
C2-FST,wiki,28.501379,0.901482,239.462260
C2-FST,log,67.453277,1.757939,954.026585
CoCo-prime,words,362.535608,2.159839,387.655618
CoCo-prime,dna,127.991877,1.087284,369.830170
CoCo-prime,xml,140.594980,0.854956,575.595000
CoCo-prime,wiki,155.760662,0.919094,401.755960
CoCo-prime,log,777.440434,1.599033,805.314138
BV-CoCo,words,350.539591,2.106107,339.061383
BV-CoCo,dna,118.404778,1.999152,263.813530
BV-CoCo,xml,131.138446,0.975402,505.020090
BV-CoCo,wiki,145.481690,1.000765,335.286980
BV-CoCo,log,763.183470,1.854659,671.998625
C2-CoCo,words,354.863529,2.105419,339.378048
C2-CoCo,dna,126.753588,1.082561,274.376800
C2-CoCo,xml,138.838427,0.849668,506.356890
C2-CoCo,wiki,152.412251,0.913608,339.992510
C2-CoCo,log,773.711635,1.592441,714.281894
Marisa,words,108.908434,1.567876,256.663482
Marisa,dna,36.691873,2.180699,279.021140
Marisa,xml,47.161599,1.025860,330.306040
Marisa,wiki,27.560424,0.892581,248.358240
Marisa,log,65.377377,1.518940,465.538367
BV-Marisa,words,60.401084,1.726755,176.577648
BV-Marisa,dna,37.029227,2.142848,195.022890
BV-Marisa,xml,28.855909,0.971034,208.003870
BV-Marisa,wiki,22.391113,0.893271,157.461080
BV-Marisa,log,56.722560,1.299905,320.812753
C2-Marisa,words,78.915106,1.725087,181.329134
C2-Marisa,dna,46.537168,1.163872,198.596820
C2-Marisa,xml,39.771963,0.809645,239.415990
C2-Marisa,wiki,31.951642,0.792815,169.407130
C2-Marisa,log,71.387664,0.989118,396.818243
Marisa-1,words,65.460902,1.726755,177.704550
Marisa-1,dna,66.181278,1.418313,314.605290
Marisa-1,xml,36.795177,0.727429,336.952770
Marisa-1,wiki,29.580141,0.752213,238.232320
Marisa-1,log,60.748303,0.880291,550.121462
BV-Marisa-1,words,64.793815,1.726755,178.324596
BV-Marisa-1,dna,66.532331,1.418313,312.457780
BV-Marisa-1,xml,37.144578,0.727429,330.830020
BV-Marisa-1,wiki,30.042541,0.752213,241.886780
BV-Marisa-1,log,61.816878,0.880291,549.917336
C2-Marisa-1,words,78.195382,1.664181,192.753381
C2-Marisa-1,dna,83.339695,1.163872,204.406600
C2-Marisa-1,xml,48.982450,0.711694,355.972780
C2-Marisa-1,wiki,41.999810,0.697284,243.107210
C2-Marisa-1,log,80.201638,0.724390,623.674582
PDT,words,291.303797,1.550354,353.845536
PDT,dna,193.818485,0.890774,383.752660
PDT,xml,148.185458,0.661365,445.803550
PDT,wiki,171.723644,0.763969,336.477060
PDT,log,225.818279,1.003824,536.992082
ART,words,33.500866,15.953697,130.197848
ART,dna,6.590794,3.529694,132.192240
ART,xml,12.858786,3.385498,165.394230
ART,wiki,6.886916,3.173141,98.297810
ART,log,11.681718,3.754654,273.824345
C-ART,words,55.919520,7.129582,160.141766
C-ART,dna,11.783620,1.650438,154.856090
C-ART,xml,16.609578,1.520199,176.428010
C-ART,wiki,10.368066,1.507129,110.511360
C-ART,log,16.229290,2.435940,318.091405
